
### Methode : pt_milieu


#### test pour le monome de degré 0

N[i]  |       I        |      Q[i]      |      E[i]     
N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |       1.098696 |      2.6283185 |      1.5296225
    2 |       1.098696 |      1.6283185 |     0.52962249
    4 |       1.098696 |      1.3141593 |     0.21546322
    8 |       1.098696 |      1.1911616 |    0.092465601
   16 |       1.098696 |      1.1418694 |    0.043173405
   32 |       1.098696 |      1.1194559 |    0.020759838
   64 |       1.098696 |      1.1087927 |    0.010096633
  128 |       1.098696 |      1.1036725 |   0.0049764627
  256 |       1.098696 |      1.1011653 |   0.0024692354
  512 |       1.098696 |       1.099927 |    0.001230913


#### test pour f(x) = abs(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |              1 |              2 |              1
    2 |              1 |      1.2886751 |     0.28867513
    4 |              1 |      1.0721688 |    0.072168784
    8 |              1 |      1.0180422 |    0.018042196
   16 |              1 |      1.0045105 |    0.004510549
   32 |              1 |      1.0011276 |   0.0011276372
   64 |              1 |      1.0002819 |  0.00028190931
  128 |              1 |      1.0000705 |  7.0477328e-05
  256 |              1 |      1.0000176 |  1.7619332e-05
  512 |              1 |      1.0000044 |   4.404833e-06


#### test pour f(x) = exp(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |      2.3504024 |     0.86182973 |      1.4885727
    2 |      2.3504024 |      1.4252713 |     0.92513107
    4 |      2.3504024 |      1.8304689 |     0.51993344
    8 |      2.3504024 |       2.074221 |     0.27618143
   16 |      2.3504024 |      2.2079986 |     0.14240381
   32 |      2.3504024 |      2.2780881 |    0.072314287
   64 |      2.3504024 |      2.3139628 |    0.036439612
  128 |      2.3504024 |      2.3321114 |    0.018290977
  256 |      2.3504024 |       2.341239 |   0.0091633505
  512 |      2.3504024 |      2.3458162 |   0.0045861495


#### test pour f(x) = cos(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |       1.682942 |     0.90545139 |     0.77749058
    2 |       1.682942 |      1.4765675 |     0.20637447
    4 |       1.682942 |      1.6305996 |     0.05234237
    8 |       1.682942 |      1.6698096 |    0.013132386
   16 |       1.682942 |      1.6796559 |   0.0032860212
   32 |       1.682942 |      1.6821203 |  0.00082168808
   64 |       1.682942 |      1.6827365 |  0.00020543344
  128 |       1.682942 |      1.6828906 |  5.1359075e-05
  256 |       1.682942 |      1.6829291 |  1.2839813e-05
  512 |       1.682942 |      1.6829388 |  3.2099561e-06


#### test pour f(x) = arctan_der(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |      1.5707963 |      1.1351351 |     0.43566119
    2 |      1.5707963 |      1.4430076 |     0.12778873
    4 |      1.5707963 |      1.5395412 |    0.031255121
    8 |      1.5707963 |      1.5629838 |   0.0078124991
   16 |      1.5707963 |      1.5688432 |    0.001953125
   32 |      1.5707963 |       1.570308 |  0.00048828125
   64 |      1.5707963 |      1.5706743 |  0.00012207031
  128 |      1.5707963 |      1.5707658 |  3.0517578e-05
  256 |      1.5707963 |      1.5707887 |  7.6293945e-06
  512 |      1.5707963 |      1.5707944 |  1.9073486e-06

### Methode : Gauss-Legendre_3pts


#### test pour le monome de degré 0

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |              2 |              2 |              0
    2 |              2 |              2 |              0
    4 |              2 |              2 |              0
    8 |              2 |              2 |              0
   16 |              2 |              2 |              0
   32 |              2 |              2 |              0
   64 |              2 |              2 |              0
  128 |              2 |              2 |              0
  256 |              2 |              2 |              0
  512 |              2 |              2 |              0


#### test pour le monome de degré 1

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |              0 |    -0.88888889 |     0.88888889
    2 |              0 |    -0.44444444 |     0.44444444
    4 |              0 |    -0.22222222 |     0.22222222
    8 |              0 |    -0.11111111 |     0.11111111
   16 |              0 |   -0.055555556 |    0.055555556
   32 |              0 |   -0.027777778 |    0.027777778
   64 |              0 |   -0.013888889 |    0.013888889
  128 |              0 |  -0.0069444444 |   0.0069444444
  256 |              0 |  -0.0034722222 |   0.0034722222
  512 |              0 |  -0.0017361111 |   0.0017361111


#### test pour le monome de degré 2

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |     0.66666667 |      1.5555556 |     0.88888889
    2 |     0.66666667 |     0.88888889 |     0.22222222
    4 |     0.66666667 |     0.72222222 |    0.055555556
    8 |     0.66666667 |     0.68055556 |    0.013888889
   16 |     0.66666667 |     0.67013889 |   0.0034722222
   32 |     0.66666667 |     0.66753472 |  0.00086805556
   64 |     0.66666667 |     0.66688368 |  0.00021701389
  128 |     0.66666667 |     0.66672092 |  5.4253472e-05
  256 |     0.66666667 |     0.66668023 |  1.3563368e-05
  512 |     0.66666667 |     0.66667006 |   3.390842e-06


#### test pour f(x) = absWith(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |       1.098696 |      2.0288045 |     0.93010849
    2 |       1.098696 |      1.3911736 |     0.29247753
    4 |       1.098696 |      1.2112398 |     0.11254375
    8 |       1.098696 |      1.1416128 |    0.042916738
   16 |       1.098696 |      1.1190745 |    0.020378476
   32 |       1.098696 |       1.107466 |   0.0087699838
   64 |       1.098696 |      1.1030797 |   0.0043836153
  128 |       1.098696 |      1.1008865 |   0.0021904311
  256 |       1.098696 |      1.0997933 |   0.0010972191
  512 |       1.098696 |      1.0992442 |  0.00054818835


#### test pour f(x) = abs(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |              1 |      1.7495519 |     0.74955185
    2 |              1 |              1 |              0
    4 |              1 |              1 |              0
    8 |              1 |              1 |              0
   16 |              1 |              1 |              0
   32 |              1 |              1 |              0
   64 |              1 |              1 |   2.220446e-16
  128 |              1 |              1 |              0
  256 |              1 |              1 |   2.220446e-16
  512 |              1 |              1 |              0


#### test pour f(x) = exp(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |      2.3504024 |       1.788452 |      0.5619504
    2 |      2.3504024 |      1.9560135 |      0.3943889
    4 |      2.3504024 |      2.1217221 |     0.22868033
    8 |      2.3504024 |       2.227975 |      0.1224274
   16 |      2.3504024 |       2.287153 |    0.063249339
   32 |      2.3504024 |      2.3182679 |    0.032134449
   64 |      2.3504024 |      2.3342077 |    0.016194724
  128 |      2.3504024 |      2.3422731 |   0.0081292402
  256 |      2.3504024 |      2.3463298 |   0.0040725899
  512 |      2.3504024 |      2.3483641 |   0.0020382874


#### test pour f(x) = cos(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |       1.682942 |      1.2743834 |     0.40855859
    2 |       1.682942 |      1.5874482 |    0.095493722
    4 |       1.682942 |      1.6594453 |    0.023496687
    8 |       1.682942 |      1.6770908 |    0.005851169
